model,year,motor_type,running,wheel,color,type,status,motor_volume,price
nissan,2018,petrol,85000  km,left,black,Universal,excellent,2.5,23000
mercedes-benz,2001,petrol,315324  km,left,black,sedan,good,2.0,6000
kia,2022,petrol,4700  miles,left,white,sedan,excellent,2.0,27900
mercedes-benz,2012,petrol,10  km,left,white,sedan,excellent,2.5,10300
mercedes-benz,2022,petrol,36500  km,left,gray,sedan,excellent,2.0,48000
hyundai,2015,petrol,96000  miles,left,white,sedan,excellent,2.0,12800
nissan,2016,petrol,97500  miles,left,black,suv,good,2.5,16000
hyundai,2019,petrol,102000  miles,left,gray,sedan,excellent,2.0,14300
kia,2019,petrol,14800  miles,left,black,sedan,excellent,2.0,17500
nissan,2018,petrol,15000  km,left,white,suv,excellent,2.0,16500
nissan,2017,petrol,65000  miles,left,black,suv,good,2.0,18400
nissan,2017,petrol,61250  miles,left,white,suv,excellent,2.0,19500
kia,2014,petrol and gas,150000  km,left,black,sedan,excellent,1.8,10900
mercedes-benz,1999,petrol and gas,160000  miles,left,white,sedan,excellent,2.0,8500
nissan,2017,petrol,122000  miles,left,silver,suv,good,2.5,16500
kia,2019,petrol,70000  miles,left,silver,sedan,excellent,2.0,14700
nissan,2018,petrol,103000  miles,left,black,suv,good,2.0,15500
mercedes-benz,2018,petrol,48000  km,left,black,sedan,excellent,2.0,28700
nissan,2018,petrol,93  km,left,black,suv,excellent,2.5,18300
hyundai,2021,petrol,53000  miles,left,gray,sedan,excellent,2.0,19700
kia,2019,petrol,30400  km,left,black,sedan,excellent,2.0,14200
mercedes-benz,2016,petrol,140000  km,left,white,sedan,excellent,3.0,21000
nissan,2017,petrol,100000  miles,left,black,suv,excellent,2.0,17000
mercedes-benz,2001,gas,305000  km,left,silver,sedan,normal,3.2,6000
nissan,2018,petrol,57000  km,left,red,suv,excellent,2.0,18000
kia,2019,petrol,33000  miles,left,black,sedan,excellent,2.0,14000
mercedes-benz,2017,petrol,88000  miles,left,black,sedan,good,2.0,23500
hyundai,2007,petrol,98700  miles,left,silver,sedan,good,2.0,7700
mercedes-benz,1993,petrol,411732  km,left,gray,sedan,normal,2.0,3500
nissan,2018,petrol,62000  miles,left,white,suv,excellent,2.0,22000
mercedes-benz,2002,petrol and gas,187400  km,left,silver,sedan,excellent,2.0,6625
mercedes-benz,2006,petrol,205000  km,left,silver,sedan,good,2.5,9000
mercedes-benz,2016,petrol,115000  km,left,black,sedan,excellent,2.0,24000
kia,2020,petrol,23000  km,left,black,sedan,crashed,2.0,15700
nissan,2019,petrol,38000  miles,left,black,suv,excellent,2.0,28000
mercedes-benz,2016,petrol,115000  km,left,white,sedan,excellent,2.0,28000
toyota,2014,petrol,119000  miles,left,other,sedan,good,2.0,12200
hyundai,2020,petrol,36000  miles,left,blue,sedan,excellent,2.0,17000
toyota,2013,petrol,61000  miles,left,white,sedan,good,1.8,15750
toyota,2019,petrol,60000  miles,left,black,sedan,excellent,1.8,24300
hyundai,2021,petrol,31000  km,left,silver,sedan,excellent,2.0,28000
mercedes-benz,2016,petrol,70000  km,left,black,sedan,excellent,2.0,29000
toyota,2014,petrol,196000  km,left,white,sedan,excellent,1.6,14800
mercedes-benz,1997,petrol and gas,161  km,left,silver,sedan,good,2.0,8700
mercedes-benz,2017,petrol,100  km,left,silver,Coupe,excellent,0.2,29000
toyota,2016,petrol,120000  miles,left,black,sedan,excellent,2.0,16900
mercedes-benz,1997,petrol,250127  km,left,silver,sedan,normal,2.0,3900
hyundai,2016,petrol and gas,61000  miles,left,blue,sedan,excellent,2.0,12500
hyundai,2014,petrol,105000  km,left,blue,sedan,excellent,2.0,10000
toyota,2022,petrol,2400  miles,left,black,sedan,new,2.0,25500
toyota,2016,petrol,100000  km,left,white,sedan,good,2.0,14000
mercedes-benz,1998,gas,300000  km,left,silver,sedan,normal,2.0,6500
kia,2019,petrol,70000  km,left,silver,sedan,excellent,2.0,15900
mercedes-benz,2000,petrol,123456  km,left,silver,sedan,good,1.8,5800
hyundai,2023,petrol,6300  km,left,gray,sedan,excellent,2.0,40700
mercedes-benz,2001,petrol,290000  km,left,golden,sedan,excellent,2.0,7300
nissan,2019,petrol,70000  km,left,blue,suv,good,2.0,14500
nissan,2017,petrol,77000  miles,left,white,suv,excellent,2.0,15250
hyundai,2018,petrol,90000  km,left,black,sedan,excellent,2.0,12500
nissan,2019,petrol,40000  miles,left,black,suv,excellent,2.0,19800
kia,2018,petrol,24000  miles,left,cherry,sedan,excellent,2.0,12800
kia,2021,petrol,12900  miles,left,blue,sedan,excellent,2.0,19000
hyundai,2016,petrol,56000  miles,left,blue,sedan,excellent,2.0,12300
mercedes-benz,2015,petrol,150000  km,left,black,sedan,excellent,2.0,25000
nissan,2018,petrol,69000  miles,left,white,suv,new,2.0,22200
toyota,2018,petrol,75000  miles,left,black,sedan,excellent,2.0,18000
nissan,2019,petrol,70000  km,left,black,suv,excellent,2.0,22500
toyota,2015,petrol,123000  km,left,gray,sedan,good,2.0,15000
hyundai,2021,petrol,23000  km,left,gray,sedan,new,2.0,24800
mercedes-benz,2014,petrol,71000  km,left,white,sedan,excellent,1.8,25000
nissan,2017,petrol,68000  km,left,black,Universal,excellent,2.0,23900
mercedes-benz,2007,petrol,181000  miles,left,white,sedan,good,2.0,9000
hyundai,2017,petrol,82000  miles,left,silver,sedan,good,2.0,11400
toyota,2007,petrol,150000  km,left,white,sedan,good,1.6,7700
mercedes-benz,2007,gas,129000  km,left,black,sedan,excellent,2.5,14200
hyundai,2018,petrol,23  miles,left,black,sedan,good,2.0,15550
hyundai,2016,petrol,110000  km,left,white,sedan,excellent,2.0,12300
kia,2011,petrol,259150  km,left,clove,sedan,good,2.0,8000
hyundai,2011,petrol,180000  miles,left,black,sedan,good,1.8,8900
kia,2019,petrol,44000  miles,left,black,sedan,good,2.0,15600
hyundai,2019,petrol,50400  miles,left,silver,sedan,excellent,2.0,16000
nissan,2017,petrol,60000  miles,left,white,suv,excellent,2.0,17500
toyota,2021,petrol,35000  km,left,white,sedan,excellent,2.0,21500
mercedes-benz,2017,petrol,84000  km,left,black,sedan,excellent,2.0,32000
toyota,2017,petrol,110000  miles,left,black,sedan,excellent,1.8,14500
mercedes-benz,1995,gas,300000  km,left,green,sedan,good,1.8,5000
mercedes-benz,1995,petrol,287405  km,left,silver,sedan,good,2.0,4200
kia,2015,petrol,90000  miles,left,black,sedan,excellent,2.0,11500
nissan,2019,petrol,70000  miles,left,black,suv,good,2.5,18500
toyota,2017,petrol,81000  km,left,black,sedan,excellent,2.0,18500
toyota,2009,petrol,100000  km,left,black,sedan,excellent,1.4,11000
mercedes-benz,2018,petrol,54000  miles,left,white,sedan,excellent,2.0,35000
toyota,2014,petrol,42000  miles,left,silver,sedan,excellent,1.8,16000
toyota,2020,petrol,28000  miles,left,black,sedan,good,2.0,19500
hyundai,2010,petrol,105000  km,left,gray,sedan,excellent,2.0,7500
hyundai,2022,petrol,1200  km,left,white,sedan,new,2.0,26900
nissan,2020,petrol,15500  miles,left,white,suv,excellent,2.0,21500
hyundai,2017,petrol,99950  miles,left,cherry,sedan,excellent,2.0,12700
hyundai,2017,petrol,69000  miles,left,black,sedan,excellent,2.0,14500
kia,2019,petrol,46000  miles,left,black,sedan,excellent,2.0,15800
hyundai,2014,petrol and gas,138  miles,left,black,sedan,good,2.0,15750
mercedes-benz,2003,petrol,254000  km,left,silver,sedan,good,2.6,6000
kia,2022,petrol,3500  km,left,blue,sedan,excellent,1.6,27500
toyota,2017,petrol and gas,96000  km,left,other,sedan,excellent,1.8,17600
hyundai,2012,petrol,143000  km,left,white,sedan,excellent,2.0,11300
mercedes-benz,2017,petrol,35000  miles,left,black,sedan,crashed,2.0,24500
mercedes-benz,2013,petrol,165000  km,left,white,sedan,excellent,3.0,19500
hyundai,2013,gas,110000  miles,left,silver,sedan,excellent,2.0,7000
hyundai,2019,petrol,60500  miles,left,white,sedan,excellent,2.0,14500
kia,2016,petrol,40000  miles,left,silver,sedan,excellent,2.0,12800
hyundai,2017,petrol,84000  km,left,white,sedan,good,2.0,14200
toyota,2017,petrol,130000  miles,left,blue,sedan,excellent,1.8,16000
hyundai,2012,petrol,117210  miles,left,red,Coupe,excellent,1.8,12000
mercedes-benz,1997,petrol,205000  km,left,blue,sedan,normal,2.0,2900
mercedes-benz,2006,petrol,250000  km,left,black,sedan,good,2.0,7300
hyundai,2019,petrol,35000  km,left,gray,sedan,excellent,2.0,16300
kia,2019,petrol,65000  miles,left,gray,sedan,excellent,2.0,16900
kia,2021,petrol,23700  km,left,black,sedan,excellent,2.0,20500
hyundai,2015,petrol,130  miles,left,black,sedan,good,2.0,12000
mercedes-benz,2015,petrol,77000  miles,left,black,sedan,good,2.0,24900
toyota,2016,petrol,130000  km,left,black,sedan,excellent,2.0,19200
nissan,2018,petrol,77600  miles,left,gray,sedan,excellent,2.0,17500
hyundai,2017,petrol,97000  miles,left,black,sedan,excellent,2.0,11400
nissan,2017,petrol,73000  km,left,white,suv,excellent,2.0,22500
mercedes-benz,2007,petrol,250000  km,left,silver,sedan,good,2.0,11700
hyundai,2019,petrol,47000  km,left,gray,sedan,excellent,2.0,17800
toyota,2018,petrol,50000  miles,left,silver,sedan,excellent,1.8,14000
hyundai,2019,petrol,55000  km,left,silver,sedan,excellent,2.0,15300
mercedes-benz,1995,petrol,319000  km,left,silver,sedan,excellent,2.0,5300
kia,2020,petrol,24000  miles,left,black,sedan,excellent,2.0,15200
mercedes-benz,1998,petrol and gas,307000  km,left,white,sedan,excellent,1.8,6000
toyota,2017,petrol,90000  km,left,silver,sedan,excellent,2.0,21500
mercedes-benz,2008,petrol,250000  km,left,black,sedan,good,3.0,10500
nissan,2017,petrol,83000  miles,left,gray,suv,excellent,2.0,15300
nissan,2022,petrol,4500  km,left,black,suv,excellent,1.5,32500
toyota,2019,petrol,1600  km,left,gray,sedan,excellent,2.0,24500
toyota,2014,gas,140000  miles,left,black,sedan,excellent,2.0,13300
mercedes-benz,2008,gas,248000  km,left,white,sedan,excellent,2.0,9500
toyota,2014,petrol,52000  miles,left,black,sedan,excellent,1.8,14000
mercedes-benz,1996,gas,270000  km,left,black,sedan,good,2.0,4700
hyundai,2017,petrol,52000  miles,left,black,sedan,excellent,2.0,13800
mercedes-benz,1997,petrol,160000  km,left,silver,sedan,excellent,2.0,5200
nissan,2017,petrol,70000  miles,left,black,Universal,excellent,2.0,15700
toyota,2018,petrol,130000  km,left,black,sedan,excellent,1.8,19500
toyota,2020,petrol,22000  km,left,blue,sedan,excellent,2.0,20000
hyundai,2018,petrol,55000  miles,left,red,sedan,excellent,2.0,13400
kia,2019,petrol,35286  miles,left,silver,sedan,excellent,2.0,16400
mercedes-benz,1998,petrol,270000  km,left,blue,sedan,normal,2.0,5200
hyundai,2017,gas,85000  miles,left,silver,sedan,excellent,2.0,13500
kia,2017,petrol and gas,66000  miles,left,blue,sedan,excellent,2.0,11400
hyundai,2021,petrol,23000  km,left,cherry,sedan,excellent,2.0,25700
hyundai,2017,petrol,125000  miles,left,silver,sedan,good,2.0,13300
hyundai,2018,petrol,35000  miles,left,brown,sedan,excellent,2.0,13800
kia,2020,petrol,39000  miles,left,white,sedan,excellent,2.0,15500
hyundai,2023,petrol,630  km,left,gray,sedan,excellent,2.0,26000
mercedes-benz,2010,petrol,10  km,left,black,sedan,excellent,2.0,12000
kia,2018,petrol,42000  miles,left,blue,sedan,excellent,2.0,16000
hyundai,2020,petrol,3900  km,left,white,sedan,excellent,2.0,17500
kia,2017,petrol and gas,120000  miles,left,black,sedan,excellent,2.0,11500
mercedes-benz,2007,gas,300000  km,left,white,sedan,good,2.0,8300
mercedes-benz,2003,petrol,308000  km,left,white,sedan,good,2.0,6000
kia,2019,petrol,81000  miles,left,silver,sedan,excellent,2.0,16500
hyundai,2020,petrol,53000  miles,left,silver,sedan,good,2.0,13700
nissan,2018,petrol,71000  km,left,white,Universal,excellent,2.0,17700
mercedes-benz,2008,petrol,229000  km,left,black,sedan,excellent,2.0,10800
kia,2022,petrol,5000  miles,left,white,sedan,good,2.0,26900
toyota,2012,gas,110000  miles,left,white,sedan,excellent,2.0,12000
toyota,2008,petrol,173000  km,left,silver,sedan,excellent,2.0,6800
mercedes-benz,1998,gas,300000  km,left,black,sedan,good,2.0,4700
nissan,2017,petrol,54000  km,left,beige,sedan,excellent,2.5,22000
toyota,2020,petrol,100000  km,left,black,sedan,good,2.0,19000
hyundai,2018,petrol,30000  miles,left,gray,sedan,excellent,2.0,17000
nissan,2018,petrol,26000  miles,left,white,Universal,excellent,2.5,20500
kia,2019,petrol,48000  km,left,orange,sedan,good,2.0,13500
kia,2019,petrol,56000  miles,left,gray,sedan,excellent,2.0,17000
nissan,2020,petrol,90000  km,left,gray,suv,excellent,2.0,18400
mercedes-benz,2008,gas,150000  miles,left,white,sedan,good,2.0,9500
nissan,2019,petrol,67000  km,left,black,suv,good,2.0,22300
kia,2019,petrol,27000  miles,left,black,sedan,excellent,2.0,15900
hyundai,2021,petrol,50000  km,left,black,sedan,excellent,2.0,19500
nissan,2020,petrol,8250  miles,left,white,suv,excellent,2.0,21000
hyundai,2018,petrol,64000  miles,left,white,sedan,excellent,2.0,14000
kia,2020,petrol,44886  miles,left,white,sedan,excellent,2.0,17500
kia,2020,petrol,33600  miles,left,gray,sedan,excellent,2.0,18200
kia,2019,petrol,40000  miles,left,blue,sedan,excellent,2.0,15800
hyundai,2012,petrol,150000  miles,left,white,sedan,excellent,1.8,10500
hyundai,2017,petrol,131000  km,left,black,sedan,normal,2.0,13500
toyota,2022,petrol,10000  km,left,white,sedan,excellent,2.0,19500
nissan,2017,petrol,69000  miles,left,silver,suv,excellent,2.5,15000
nissan,2018,petrol,70000  miles,left,black,suv,excellent,2.0,18500
kia,2017,petrol,66000  miles,left,silver,sedan,good,2.0,12000
hyundai,2011,petrol,75500  miles,left,black,sedan,excellent,1.8,9700
kia,2015,petrol,140000  km,left,white,sedan,good,1.8,9800
mercedes-benz,1998,gas,290000  km,left,silver,sedan,normal,2.0,5200
mercedes-benz,2016,petrol,84000  km,left,white,sedan,excellent,2.0,30000
nissan,2018,petrol,53000  km,left,black,suv,excellent,2.5,19300
nissan,2018,petrol,60000  miles,left,silver,suv,excellent,2.0,17500
mercedes-benz,2006,petrol,183000  km,left,black,sedan,excellent,2.0,8000
hyundai,2019,petrol,11295  miles,left,black,sedan,excellent,2.0,17500
hyundai,2019,petrol,76000  km,left,white,sedan,excellent,2.0,15600
mercedes-benz,1994,petrol and gas,250  km,left,black,sedan,good,2.0,3000
mercedes-benz,1998,gas,115000  km,left,white,sedan,excellent,2.0,15750
mercedes-benz,1994,gas,280000  km,left,black,sedan,good,2.0,4000
nissan,2019,petrol,69000  km,left,white,suv,excellent,2.0,22700
hyundai,2019,petrol,65000  miles,left,silver,sedan,good,2.0,15500
hyundai,2019,petrol,71300  miles,left,black,sedan,excellent,2.0,16500
nissan,2018,petrol,87000  miles,left,white,suv,excellent,2.5,18500
mercedes-benz,1998,gas,450000  km,left,blue,sedan,excellent,2.0,6200
hyundai,2013,petrol,102000  miles,left,gray,sedan,good,2.0,10000
nissan,2016,petrol,120  miles,left,blue,suv,excellent,2.0,12700
nissan,2009,petrol,200000  km,left,blue,suv,excellent,2.0,10500
hyundai,2020,petrol,15000  km,left,gray,sedan,excellent,2.0,15500
kia,2019,petrol,49000  miles,left,silver,sedan,excellent,2.0,17000
nissan,2019,petrol,36000  km,left,black,Universal,good,2.0,22000
mercedes-benz,2017,petrol,45000  km,left,black,sedan,excellent,2.0,29000
hyundai,2012,petrol,180000  km,left,black,sedan,good,2.0,9500
hyundai,2021,petrol,32000  km,left,white,sedan,excellent,2.0,24000
mercedes-benz,2020,petrol,15000  miles,left,white,Coupe,excellent,2.0,51000
mercedes-benz,1999,petrol and gas,220000  km,left,blue,sedan,excellent,2.0,4700
kia,2019,petrol,40000  km,left,gray,sedan,excellent,2.0,16900
hyundai,2018,petrol,54000  km,left,silver,sedan,excellent,2.0,15000
mercedes-benz,2018,petrol,76620  miles,left,white,sedan,crashed,2.0,12500
mercedes-benz,2000,petrol,209000  km,left,blue,sedan,normal,2.0,5300
kia,2017,gas,75000  miles,left,brown,sedan,good,2.0,13800
mercedes-benz,1998,gas,305000  km,left,blue,sedan,normal,2.0,5000
kia,2019,petrol,30500  miles,left,blue,sedan,excellent,2.0,16800
kia,2021,petrol,14900  km,left,gray,sedan,excellent,2.0,462
kia,2016,petrol,84000  km,left,black,sedan,excellent,2.0,13500
nissan,2017,petrol,59000  km,left,silver,suv,excellent,2.5,17500
hyundai,2021,petrol,72000  km,left,white,sedan,excellent,2.0,25500
nissan,2017,petrol,73000  km,left,gray,suv,excellent,2.5,19000
nissan,2017,petrol,92600  km,left,black,suv,excellent,2.5,16500
nissan,2017,petrol,86000  km,left,black,suv,excellent,2.0,18000
hyundai,2012,petrol,120  miles,left,cherry,sedan,excellent,2.0,10500
kia,2020,petrol,60000  km,left,white,sedan,crashed,2.0,13800
kia,2019,petrol,25300  km,left,blue,sedan,excellent,2.0,14600
hyundai,2018,gas,42000  miles,left,white,sedan,excellent,2.0,15200
mercedes-benz,2008,petrol,218750  miles,left,gray,sedan,good,2.0,9000
toyota,2019,petrol,50000  km,left,black,sedan,excellent,2.0,19800
kia,2019,petrol,26000  miles,left,blue,sedan,excellent,2.0,18500
mercedes-benz,2000,petrol,220000  km,left,blue,sedan,normal,2.0,4750
mercedes-benz,2017,petrol,70000  km,left,gray,sedan,excellent,2.0,31700
hyundai,2016,petrol,111000  miles,left,other,sedan,good,2.0,11500
mercedes-benz,1996,petrol,220000  km,left,blue,sedan,good,2.0,4500
hyundai,2013,petrol,86000  miles,left,white,sedan,good,2.0,8600
nissan,2017,petrol,54000  miles,left,white,suv,excellent,2.0,18000
nissan,2018,petrol,50000  km,left,gray,suv,excellent,2.0,20000
mercedes-benz,2003,petrol,280000  km,left,silver,sedan,normal,2.0,5000
toyota,2015,petrol,110000  miles,left,black,sedan,excellent,2.0,13500
nissan,2019,petrol,70000  miles,left,gray,suv,good,2.0,18500
hyundai,2022,petrol,11000  km,left,black,sedan,excellent,2.0,24800
toyota,2011,gas,140000  km,left,gray,sedan,excellent,2.0,11000
hyundai,2015,petrol,80000  miles,left,blue,sedan,excellent,2.0,11600
mercedes-benz,2000,gas,200000  km,left,silver,sedan,good,2.0,5600
hyundai,2011,petrol and gas,119000  miles,left,black,sedan,excellent,1.8,9900
nissan,2016,petrol,85000  km,left,black,suv,excellent,2.5,14900
toyota,2009,gas,130000  miles,left,silver,sedan,good,2.0,10250
hyundai,2017,petrol,75000  miles,left,white,sedan,excellent,2.0,14200
mercedes-benz,1998,petrol,270000  km,left,black,sedan,excellent,2.0,7000
kia,2014,petrol,160000  miles,left,white,sedan,excellent,2.0,9300
kia,2018,petrol,52000  miles,left,blue,sedan,good,2.0,12400
kia,2017,petrol,66400  km,left,white,sedan,excellent,2.0,12600
mercedes-benz,2008,petrol,120000  km,left,white,sedan,excellent,2.0,10500
mercedes-benz,2010,gas,150000  miles,left,other,sedan,good,3.0,11000
kia,2020,petrol,42000  miles,left,other,sedan,excellent,2.0,19800
hyundai,2019,petrol,28000  miles,left,white,sedan,excellent,2.0,15750
hyundai,2019,petrol,13000  miles,left,black,sedan,excellent,2.0,16500
toyota,2017,petrol,130000  km,left,white,sedan,excellent,1.8,15600
kia,2021,petrol,33000  miles,left,blue,sedan,excellent,2.0,18400
nissan,2019,petrol,72000  km,left,silver,suv,excellent,2.5,19000
nissan,2017,petrol,86000  miles,left,black,suv,excellent,2.5,20500
toyota,2015,petrol,137000  km,left,black,sedan,excellent,2.0,16000
toyota,2020,petrol,75000  km,left,silver,sedan,excellent,2.0,21500
toyota,2016,petrol,115000  km,left,black,sedan,excellent,1.6,17500
kia,2013,petrol and gas,143000  miles,left,white,sedan,good,1.8,9300
hyundai,2019,petrol,68000  miles,left,black,sedan,excellent,2.0,17500
kia,2013,petrol,150000  miles,left,white,sedan,good,2.0,9600
mercedes-benz,2017,petrol,56000  km,left,gray,sedan,excellent,2.0,26000
nissan,2017,petrol,127000  km,left,silver,suv,excellent,2.0,16500
mercedes-benz,2012,petrol,130000  km,left,blue,sedan,excellent,2.0,12500
nissan,2012,petrol,104000  km,left,blue,suv,good,2.0,8500
toyota,2013,petrol,170000  km,left,white,sedan,excellent,1.6,13500
hyundai,2018,petrol,22000  miles,left,silver,sedan,excellent,2.0,16500
mercedes-benz,1998,gas,416500  km,left,blue,sedan,good,2.0,5500
hyundai,2013,petrol,113000  miles,left,black,sedan,excellent,2.0,10800
hyundai,2011,petrol,118000  miles,left,gray,sedan,normal,1.8,9800
kia,2017,petrol,70000  km,left,blue,sedan,excellent,2.0,13400
hyundai,2018,petrol,58000  miles,left,gray,sedan,excellent,1.6,15700
toyota,2020,petrol,28000  km,left,white,sedan,excellent,2.0,23700
mercedes-benz,1996,petrol,310000  km,left,black,sedan,good,2.0,4200
nissan,2017,petrol,85000  km,left,black,suv,excellent,2.0,18500
mercedes-benz,2002,petrol,330000  km,left,silver,sedan,excellent,2.4,6300
nissan,2018,petrol,29000  miles,left,black,suv,excellent,2.5,17000
hyundai,2011,gas,115000  miles,left,black,sedan,good,2.0,9200
kia,2016,petrol,61  miles,left,black,sedan,good,1.8,11000
kia,2011,petrol,127000  miles,left,silver,sedan,excellent,2.0,8500
mercedes-benz,1998,gas,300000  km,left,black,sedan,good,2.8,6200
nissan,2018,petrol,95000  km,left,gray,suv,excellent,2.0,18000
kia,2013,petrol,120000  miles,left,black,sedan,excellent,2.0,8500
hyundai,2016,petrol,81000  miles,left,white,sedan,excellent,2.0,13000
nissan,2018,petrol,83000  miles,left,silver,suv,excellent,2.5,17800
